experiment_name,loss_mode,repeat_idx,seed,bce_weight,dice_weight,dice_smooth,soft_bce_smooth,best_miou,last_miou,best_macro_f1,last_macro_f1,best_rare_miou,last_rare_miou,epochs,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,mix_weight,dice_smooth,soft_bce_smooth,alpha,gamma,beta
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.2,0.8,1e-07,0.0,0.1364261961357296,0.1364261961357296,0.202662486167377,0.202662486167377,0.1163234184116956,0.1163234184116956,5,,,,,,0.2,1e-07,0.0,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.2,0.8,1e-07,0.0,0.1333566643696924,0.1333566643696924,0.2089262907691871,0.2089262907691871,0.1355476275817199,0.1355476275817199,5,,,,,,0.2,1e-07,0.0,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.2,0.8,1e-07,0.0,0.1369654893402782,0.1192853914183232,0.2057982596698624,0.1880520351934895,0.1422939332641252,0.127374388486553,5,,,,,,0.2,1e-07,0.0,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.2,0.8,1e-07,0.05,0.1337357831309595,0.1322114881029236,0.2047981015294418,0.2047981015294418,0.143314639377312,0.1291334517164896,5,,,,,,0.2,1e-07,0.05,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.2,0.8,1e-07,0.05,0.1365221759938142,0.1365221759938142,0.2082106321505901,0.2082106321505901,0.1391017371055237,0.1391017371055237,5,,,,,,0.2,1e-07,0.05,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.2,0.8,1e-07,0.05,0.1552855528896352,0.143278491214919,0.2377340942924918,0.2249057650189103,0.1589897255396751,0.1575890373336018,5,,,,,,0.2,1e-07,0.05,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.2,0.8,1e-07,0.1,0.1196918081283747,0.1196918081283747,0.1805831873477549,0.1805831873477549,0.1314925933220804,0.100937988616137,5,,,,,,0.2,1e-07,0.1,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.2,0.8,1e-07,0.1,0.125380926340138,0.125380926340138,0.187436798047773,0.187436798047773,0.143008967059218,0.143008967059218,5,,,,,,0.2,1e-07,0.1,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.2,0.8,1e-07,0.1,0.1321051476380118,0.1321051476380118,0.2114120639151417,0.2114120639151417,0.1329972801756098,0.1329972801756098,5,,,,,,0.2,1e-07,0.1,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.2,0.8,1e-06,0.0,0.1368272454626974,0.1368272454626974,0.2093826396907335,0.2093826396907335,0.1396946801293134,0.1147142278377484,5,,,,,,0.2,1e-06,0.0,,,
