experiment_name,loss_mode,bce_weight,dice_weight,dice_smooth,soft_bce_smooth,epochs,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,best_miou_mean,best_miou_std,last_miou_mean,last_miou_std,best_macro_f1_mean,best_macro_f1_std,last_macro_f1_mean,last_macro_f1_std,best_rare_miou_mean,best_rare_miou_std,last_rare_miou_mean,last_rare_miou_std,repeats
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,0.2,0.8,1e-05,0.1,5,,,,,,0.15349762852834448,0.009975916686737656,0.1453598540537865,0.002506321146116409,0.23378579796912247,0.014044203733686278,0.22529670398592913,0.0027913122432281405,0.15483365227444795,0.007973548565273061,0.14250904077430998,0.01346812178147336,3
bce_tversky__mix_weight-0.2__alpha-0.8__beta-0.2,bce_tversky,0.2,,,,5,,0.8,0.8,0.19999999999999996,,0.1477847737225576,0.006681006219078055,0.14283587885481952,0.0014678476469905874,0.2281908586238153,0.00974205805544498,0.22219412206469188,0.0028348356601516807,0.15617860466091013,0.002797336903524359,0.1444813697979695,0.019171901469537515,3
bce_tversky__mix_weight-0.2__alpha-0.5__beta-0.5,bce_tversky,0.2,,,,5,,0.8,0.5,0.5,,0.14398142810218376,0.013879515328850733,0.13784796632943533,0.007944153539216861,0.2210363555762415,0.017759850280955405,0.21469347949494236,0.011101348954579282,0.1478253386585611,0.016720433029942756,0.14119423193231095,0.02090265798199806,3
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,0.2,0.8,1e-06,0.05,5,,,,,,0.1430217144479401,0.014336859606815227,0.12227358697640212,0.023297259731103213,0.21613489822994156,0.024230382687542726,0.194724258126634,0.03096611608408579,0.14444389397973334,0.007274613757036648,0.12467043579397685,0.019848130453959664,3
focal_tversky_mix__mix_weight-0.2__alpha-0.5__gamma-1__beta-0.5,focal_tversky_mix,,,,,5,0.2,0.8,0.5,0.5,1.0,0.14209865861309215,0.008338035667492128,0.14131746247106497,0.00774746104544431,0.2183780642547869,0.012138193817177699,0.2183780642547869,0.012138193817177699,0.14362632949084334,0.008727500155513703,0.14362632949084334,0.008727500155513703,3
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,0.2,0.8,1e-07,0.05,5,,,,,,0.14184783733813633,0.009569749064240156,0.13733738510388563,0.004554709203310851,0.21691427599084126,0.014787606678011976,0.2126381662329808,0.008785663560197549,0.14713536734083696,0.00855692673092707,0.14194140871853836,0.011789200972514964,3
focal_tversky_mix__mix_weight-0.2__alpha-0.8__gamma-2__beta-0.2,focal_tversky_mix,,,,,5,0.2,0.8,0.8,0.19999999999999996,2.0,0.1390227144667463,0.003654026992081142,0.13278399660331583,0.006092073093390838,0.2163656157842536,0.006479643648811749,0.21079156072711205,0.010618668953189645,0.14850826140766296,0.0036098169164175435,0.14276905288631733,0.007204451121677505,3
focal_tversky_mix__mix_weight-0.2__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix,,,,,5,0.2,0.8,0.8,0.19999999999999996,1.0,0.13900091185226018,0.003470634838921867,0.13652138925467053,0.00613903731309456,0.21664644424318236,0.005242444378995441,0.2141215207354267,0.00847315908673794,0.15224024126807037,0.00516241854708198,0.13787458908112987,0.020043133940389733,3
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,0.2,0.8,1e-05,0.05,5,,,,,,0.13723289172476585,0.01213012940550019,0.13723289172476585,0.01213012940550019,0.20939292519934685,0.022082091181613986,0.20939292519934685,0.022082091181613986,0.14680404425878946,0.015850037753227506,0.13946908241154665,0.023426124895306582,3
bce_dice__mix_weight-0.2__dice_smooth-1e-05,bce_dice,0.2,0.8,1e-05,,5,,,,,,0.1370562742404923,0.015310771217542846,0.1321471156716735,0.008561483199482113,0.20924641897404397,0.023204073047122683,0.20253980948814265,0.013870415881842435,0.14113323048829482,0.014038645031560402,0.1328002833945554,0.022416069591153717,3
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,0.2,0.8,1e-06,0.0,5,,,,,,0.1358792755905648,0.0024090149440008134,0.1358792755905648,0.0024090149440008134,0.20902424100083664,0.0046588945265591715,0.20902424100083664,0.0046588945265591715,0.1408776181458126,0.0019684012484852283,0.13255080071529093,0.012737605674048044,3
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,0.2,0.8,1e-06,0.1,5,,,,,,0.1357097689991749,0.0023822170325478887,0.12945211146984967,0.006851647286505256,0.20253146866097116,0.0037499485082116172,0.19874085692403742,0.007186848775107875,0.13837407128297863,0.009701883688144605,0.13730329431718505,0.008956108390831248,3
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,0.2,0.8,1e-07,0.0,5,,,,,,0.13558278328190007,0.0015894261749836215,0.12968941730791508,0.00746272168176154,0.2057956788688089,0.002557188171646734,0.1998802707100179,0.008746015420302795,0.13138832641918027,0.011002779953132888,0.12641514482665622,0.007877506621281498,3
bce_tversky__mix_weight-0.2__alpha-0.2__beta-0.8,bce_tversky,0.2,,,,5,,0.8,0.2,0.8,,0.1351545122855309,0.008646774005270735,0.1351545122855309,0.008646774005270735,0.20460737902700674,0.013108546581220239,0.20460737902700674,0.013108546581220239,0.13946086644733235,0.009789724144489212,0.1322078342997541,0.014957684701857965,3
bce_dice__mix_weight-0.2__dice_smooth-1e-07,bce_dice,0.2,0.8,1e-07,,5,,,,,,0.1341894211475175,0.005753753382647528,0.1327553325999626,0.0074551674889599545,0.20095547806134795,0.005659491912525142,0.20095547806134795,0.005659491912525142,0.14112680503925512,0.004309106961478248,0.12675930595020146,0.007913766970647594,3
focal_tversky_mix__mix_weight-0.5__alpha-0.8__gamma-3__beta-0.2,focal_tversky_mix,,,,,5,0.5,0.5,0.8,0.19999999999999996,3.0,0.13325497736936168,0.017285922578765153,0.12619971608663053,0.010043352369312974,0.20211901820004163,0.026344144795837375,0.1941747544680598,0.016711488001019473,0.14734234091575812,0.01088489907871875,0.13800376925168312,0.0025472220958331886,3
dice_focal__mix_weight-0.8__gamma-1,dice_focal,,0.8,,,5,0.19999999999999996,,,,1.0,0.13285829291350712,0.004889912809030154,0.13285829291350712,0.004889912809030154,0.20484194426225286,0.005407383478357588,0.20484194426225286,0.005407383478357588,0.13512382953861576,0.008214181986283743,0.13122994766604001,0.013692377053328994,3
