experiment_name,loss_mode,repeat_idx,seed,bce_weight,dice_weight,dice_smooth,soft_bce_smooth,best_miou,last_miou,best_macro_f1,last_macro_f1,best_rare_miou,last_rare_miou,epochs,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.2,0.8,1e-07,0.0,0.13642619613572962,0.13642619613572962,0.20266248616737703,0.20266248616737703,0.11632341841169566,0.11632341841169566,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.2,0.8,1e-07,0.0,0.1333566643696924,0.1333566643696924,0.20892629076918715,0.20892629076918715,0.13554762758171995,0.13554762758171995,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.2,0.8,1e-07,0.0,0.13696548934027822,0.11928539141832327,0.20579825966986248,0.18805203519348956,0.14229393326412526,0.12737438848655308,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.2,0.8,1e-07,0.05,0.13373578313095957,0.1322114881029236,0.20479810152944183,0.20479810152944183,0.143314639377312,0.1291334517164896,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.2,0.8,1e-07,0.05,0.13652217599381422,0.13652217599381422,0.20821063215059016,0.20821063215059016,0.1391017371055237,0.1391017371055237,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.2,0.8,1e-07,0.05,0.15528555288963522,0.14327849121491906,0.23773409429249184,0.22490576501891038,0.15898972553967514,0.1575890373336018,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.2,0.8,1e-07,0.1,0.11969180812837478,0.11969180812837478,0.18058318734775494,0.18058318734775494,0.13149259332208046,0.10093798861613705,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.2,0.8,1e-07,0.1,0.125380926340138,0.125380926340138,0.18743679804777308,0.18743679804777308,0.14300896705921803,0.14300896705921803,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.2,0.8,1e-07,0.1,0.1321051476380118,0.1321051476380118,0.2114120639151417,0.2114120639151417,0.1329972801756098,0.1329972801756098,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.2,0.8,1e-06,0.0,0.13682724546269742,0.13682724546269742,0.20938263969073356,0.20938263969073356,0.13969468012931346,0.11471422783774843,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.2,0.8,1e-06,0.0,0.13257138092732382,0.13257138092732382,0.20314753254236195,0.20314753254236195,0.13928679513661854,0.13928679513661854,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.2,0.8,1e-06,0.0,0.13823920038167328,0.13823920038167328,0.21454255076941445,0.21454255076941445,0.14365137917150578,0.14365137917150578,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.2,0.8,1e-06,0.05,0.1419996380673719,0.1419996380673719,0.21900774448870272,0.21900774448870272,0.13542997477532262,0.12665263410814856,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.2,0.8,1e-06,0.05,0.12599608148938557,0.08955655417321595,0.18512691387093874,0.1510217048232813,0.14465644402958264,0.09943112863797751,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.2,0.8,1e-06,0.05,0.1610694237870628,0.1352645686886185,0.2442700363301832,0.214143325067918,0.15324526313429476,0.14792754463580451,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.2,0.8,1e-06,0.1,0.13562286607118923,0.13562286607118923,0.20759527722710516,0.20759527722710516,0.12467878955884408,0.12467878955884408,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.2,0.8,1e-06,0.1,0.13283658320494166,0.13283658320494166,0.19863517703351888,0.19863517703351888,0.14450111203411797,0.14450111203411797,5,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.2,0.8,1e-06,0.1,0.1386698577213938,0.11989688513341815,0.20136395172228944,0.18999211651148828,0.14594231225597382,0.14272998135859313,5,,,,,
